,position,company,description,location
4437,Data Scientist,Microsoft,"Skype brings people together â?anytime, anywhere, and on more devices than anyone else. Our team has built the communications fabric that bridges friends, colleagues, and family with immersive video and high quality audio, content sharing across all your devices, and intelligent bots. With over 25% of the worldâs long distance calling flowing over our service in addition to the video, text messages, and rich media being shared across the network, we generate more data than almost any communications service on the net. Thatâs where you come in.

Skype transformed the world by bringing video calling to the fingertips of hundreds of millions of people across the globe. As we look to the future, we are building a team to bridge innovation and imagination with deep data science and analytics to build on our culture of Data and Learning and help us iterate quickly on our products, build on our customerâs successes, and learn from our challenges. Come be part of the team turning amazing amounts of data into the insights that shape both our team and the products that bring the world together.

We are looking for an experienced Data Scientist to inspire a team of data scientists and machine learning experts.
Responsibilities
The Role:
Develop the tools to best drive insights across the breadth of the Skype Consumer family of products through both aggregate and real time data streams.
Drive a deep understanding of user behaviors across all products and services to empower product managers, designers, and marketers to better target our customers.
Explore and build new tools to model, test, and drive innovation across our business and customer experiences.
Champion the use of Data Science practices across all aspects of our product and service portfolio and across our business engagements.
Help further drive our culture of Learning through building fostering exploration and discovery.

You:
Have a minimum of 10 years of relevant work experience in data-analysis related roles.
Are able to break down complex business and technical problems into opportunities for analytical study.
Have extensive knowledge and experience in data science including expertise in one or more of: machine learning, big data/data mining, statistics, business/customer intelligence, data modeling, databases, data warehousing, bioinformatics, information theory, or a similar field.
Are inherently curious, energized by large challenges, and interested in making a significant impact on a globally scaled business.

Key Qualifications:
Have a deep expertise in data science with a strong understanding of analytic tools such as R, Python, RapidMiner, SAS, SPSS, &amp; KNIME, and their use across a wide variety of data sets.
Have earned a Ph.D or M.S. degree in an area such as Computer Science, Data Science, Statistics, Physics, Computational Biology, Bioinformatics, etc.
Have hands-on experience with graph modelling and computational network models.
Demonstrate strong communications and presentation skills, and the ability to work across teams, executives, and subject matter experts to drive results.
Are a tenacious problem solver that is comfortable with ambiguity.
Experience with Microsoft Data platforms, COSMOS or ARIA a strong plus, but not required.
Qualifications
Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","Redmond, WA 98052"
4446,Data Scientist,Diverse Lynx,"Should be able to formulate the Business problem into analytical study and design the complete study. Should have high experience advanced modelling skills to analyze large customer data sets.- Hands on experience using Advance Modelling techniques required are: â?Regression Analysisâ?Cluster Analysis â?Segmentation and classification modeling â?Time Series Analysis using econometric techniques (ARIMA Model, ARIMAX)â?Market Mix modelling.â?Forecasting Models Through the use of advanced analytical methods, should be able to provide actionable insights to give recommendations on customer retention and customer journey for example. Experience in developing propensity models and predictive analytics techniques Need to work on varied challenging projects and will work in a fast paced dynamic culture. High level of comfort with Primary/Secondary Research and Data TriangulationR, PythonSAS software such as Enterprise Guide, Miner and ProgrammingAzure MLTSQLExcel

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.","Redmond, WA"
4447,Data Scientist,Diverse Lynx,"Detail of Requirement

Role
Data Scientist (R, SAS/ Python)

Mandatory Technical Skills

Hands on experience with analytical data models, predictive analytics, propensity model and statistical tools.
Must have working experience either in R, SAS or Python
Strong experience in Exploratory Data Analysis &amp; Insights Generation
Strong data and web analytical skills and working experience in same
Strong analytical skills with the ability to collect, organize and analyze information with attention to detail and accuracy
Working experience with data preparation, aggregation &amp; transformation for in-depth analyis
Should have Experience in Cosmos and Scope
Good SQL &amp; Excel skills to troubleshoot data mismatches and comparison
Must have experience in Big data environment
Experience with PowerBI is a plus
Should have experience with Agile and scrum methodologies

Desirable Technical Skills

Experience with Adobe SiteCatalyst, DAX (Digital Analytix) or similar enterprise analytics system is a plus
Experience with forecasting models in a big data environment is a big plus

Mandatory Functional Skills

Excellent Communication skills
Excellent Presentation Skills
Strong analytical skills
Excellent troubleshooting and problem solving skills
Ability to work in a fast-paced, agile environment
Experience &amp; Willing to be working within a geographically-dispersed team
Experience working across multiple groups and teams
Heavy customer facing experience. Should be able to work in agile manner with the customer &amp; stakeholders
Strong Business Accumen

Desirable Functional Skills

Previous experience working with Microsoft.
Passion to drive improvement in the overall customer experience
Customer focused
Be self-critical and have an accountable work approach

Total Experience Required
7+ years

Diverse Lynx LLC is an Equal Employment Opportunity employer. All qualified applicants will receive due consideration for employment without any discrimination. All applicants will be evaluated solely on the basis of their ability, competence and their proven capability to perform the functions outlined in the corresponding role. We promote and support a diverse workforce across all levels in the company.","Redmond, WA"
4448,Data Scientist,Facebook,"Facebook Reality Labs(FRL) is the leading industrial research lab in the design of the future virtual and augmented reality products. We are seeking a world-class Research Scientist in machine learning to work on research projects in image synthesis and analysis at our research lab in Redmond, WA. The focus of this role is on machine learning applications in computer graphics with the primary responsibility being the synthesis and processing of high quality images and videos using machine learning. This full-time position requires a PhD in computer science, mathematics, machine learning, computer engineering (or similar) and a strong publication record in machine learning, as well as solid mathematical skills.
RESPONSIBILITIES

Lead research projects in machine learning for graphics in AR and VR

Collaborate with researchers and engineers from multiple teams (graphics, perception, displays, eye tracking, etc.)

Invent novel methods for improving the image quality in the future head-mounted display products

Publish and present papers at international conferences and journals, attend top conferences in machine learning, computer graphics, and relevant fields
MINIMUM QUALIFICATIONS

PhD or postdoctoral degree in machine learning, computer graphics, or image processing

3+ years of experience with machine learning techniques for image processing and analysis, such as image and video super-resolution, image denoising, etc.

Experience with image synthesis and/or GPU programming

Publications at conferences and journals in the related field

Knowledge of the modern network architectures and training techniques (e.g., style transfer, attention models, adversarial training, seq2seq)
PREFERRED QUALIFICATIONS

3+ years of experience with machine learning for image synthesis

5+ years of experience in real-time and/or offline rendering

Track record of academic results, including publications at conferences such as SIGGRAPH, NIPS, ICLR, CVPR, Eurographics, EGSR, HPG, and others

Publications related to head-mounted displays, perceptual graphics, appearance modeling","Redmond, WA"
4449,Data Scientist,Microsoft,"The Microsoft Research (MSR) Natural Language Processing group is teaching computers how to understand your language and its relationship to the visual, audio, and digital world around you. We are pushing the technical envelope in NL and AI by responding conversationally to images or videos, learning how to bridge the gap between structured data and NL text, and teaching computers to respond to real-world signals through both language and action. Our goal is to design and deploy systems that learn multi-modal interaction strategies from large volumes of language-grounded data. As an MSR team, we are committed to advancing the state-of-the-art and maintaining an active relationship with the academic community. At the same time, we have a history of successful incubations, including spinning out the Machine Translation team that powers Bing and Skype Translator. We have a highly collaborative work environment, and enjoy shipping ambitious end-user experiences. We have developed strong relationships with product teams, and are well-positioned to bring exciting new research advances to users.groups, helping to cross the chasm between research prototypes and user-facing products.
Responsibilities
Youâll be responsible for building advanced research systems using the latest machine learning/deep learning techniques, working with huge volumes of data (text and beyond).
An ideal candidate would help define, implement and deliver these compelling visions.
This requires a broad set of skills and a flexible, scientific mindset, as well as a passion for learning.
You will also be involved in the core research process: formulating experiments, publishing research papers, and patenting.
You will work with both researchers and product groups, helping to cross the chasm between research prototypes and user-facing products.
Qualifications
At least 3 years software development experience with either C#, C++, Java, or Python
At least 1 year of on-the-job experience with machine learning systems, ideally on big data and using deep learning (coursework alone does not count)
Degree in CS/EE or related technical area, preferably MS/PhD
Excellent communication and collaboration skills
Demonstrated ability to maintain code elegance as well as a passion for building and deploying large scale systems
Experience with cloud platforms (Azure, AWS) and full stack development from backend to frontend
Experience with large scale map/reduce systems (Hadoop or similar), building large scale web services
Experience with web technologies (HTML/CSS/JavaScript) This role will be based in Redmond, WA.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.
By applying to this position, you are being considered for multiple like positions. Position specifics, including hiring team, location and position details, will be determined during the interview process. The job description should make clear the job responsibilities and required qualifications.
qualifications.","Redmond, WA 98052"
4482,Data Scientist,Microsoft,"About the team
Email and calendar are the cornerstone of getting things done in your own life or when you are working with others. Outlook has undergone a huge shift in the past year â?weâre focused on delivering Outlook on all platforms (Windows, Mac, iOS, Android, and Web) and services (Office 365, Exchange, Outlook.com, Gmail, and Yahoo). Outlook is the attention center for productivity and has the highest engagement of all Microsoft products.

The Outlook Data Science team is looking for a data scientist that has management experience to lead a team of data scientists with broad expertise in machine learning, statistics, experimentation, and advanced analytics.
Responsibilities

Lead and grow the data science team
Develop the tools to best drive insights across the breadth of the Outlook of products through both aggregate and real-time data streams.
Drive a deep understanding of user behaviors across all products and services to empower product managers, designers, and marketers to better target our customers.
Explore and build new tools to model, test, and drive innovation across our business and customer experiences.
Champion the use of Data Science practices across all aspects of our product and service portfolio and across our business engagements.
Help further drive our culture of Learning through building fostering exploration and discovery
Lead a team of data scientists to design, prototype, implement and test descriptive and predictive analytics models
Providing insight to senior management to support strategic decision-making, preparing and delivering insights and recommendations based on analyses
Architect and develop operational models that run at scale thru partnership with data engineering teams
Partner with cross-functional teams to identify and explore opportunities for the application of machine learning and predictive analysis
Communicates well with technical and non-technical audiences and contributing modeling expertise as a thought leader.
Qualifications

Have a minimum of 10 years of relevant work experience in data-analysis related roles.
Are able to break down complex business and technical problems into opportunities for analytical study.
Have extensive knowledge and experience in data science including expertise in one or more of: machine learning, big data/data mining, statistics, business/customer intelligence, data modeling, databases, data warehousing, bioinformatics, information theory, or a similar field.
Are inherently curious, energized by large challenges, and interested in making a significant impact on a globally scaled business.
10+ yearsâ?experience in a Data Science or Data Analytics role
5+ years of People Management experience
Masterâs degree or higher required; emphasis in Computer science, Data Science, Statistics, Physics, Computational Biology or Bioinformatics strongly preferred.
Experience using at least one of the following technologies: R, Python, RapidMiner, SAS, SPSS, KNIME

Other Qualifications:
Have hands-on experience with graph modelling and computational network models.
Demonstrate strong communications and presentation skills, and the ability to work across teams, executives, and subject matter experts to drive results.
Are a tenacious problem solver that is comfortable with ambiguity.

Microsoft is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ancestry, color, family or medical care leave, gender identity or expression, genetic information, marital status, medical condition, national origin, physical or mental disability, political affiliation, protected veteran status, race, religion, sex (including pregnancy), sexual orientation, or any other characteristic protected by applicable laws, regulations and ordinances. We also consider qualified applicants regardless of criminal histories, consistent with legal requirements. If you need assistance and/or a reasonable accommodation due to a disability during the application or the recruiting process, please send a request via the Accommodation request form.

Benefits/perks listed below may vary depending on the nature of your employment with Microsoft and the country where you work.","Redmond, WA 98052"
4563,Data Scientist,S.C. International,"Global consulting firm is seeking talent to join a growing Analytics team. Will work with a wide range of insurance experts to identify opportunities for innovation throughout the insurance value chain. Current work is underway along two key streams: advanced analytics applications and commercial data product development. You will develop and deliver innovative advanced analytics consulting assignments for clients across the US, and you will build commercial data products that will help our clients improve their ability to make informed decisions. Additionally, you will support the US data analytics manager and our insurance division leadership to continuously refine our consulting framework, research new methodologies, support business development opportunities and provide input to our technology roadmap. Seeking 2+ years of experience. Multiple locations available. Salary DOE.","San Diego, CA"
4568,Data Scientist,Elevate,"Elevate is a globally distributed technology firm which develops next-generation financial products focused on managing lifeâs everyday expenses. The Data Science team conceptualizes, develops, deploys, and maintains predictive models using advanced statistical and machine learning methods. These models are used in Elevateâs Underwriting, Account Management, and Operations applications. The Sr. Data Scientist plays a critical role by applying cutting-edge modeling techniques to drive growth, control risk, and ensure operations excellence.

Primary Responsibilities:

Design and Develop predictive models for use in Underwriting, Customer Management, Marketing, and Operations;
Assess, clean, merge, and analyze large datasets.
Develop penalized linear and nonlinear machine learning predictive models for underwriting and account management.
Efficiently apply data mining methodologies to minimize credit/fraud losses, maximize response and approval rates, and develop methods to enhance profitability of Elevate products.
Assist with the implementation of scoring models.
Maintain clear, detailed model documentation.
Interact with business partners to support the needs and goals of all Elevate portfolios.

Experience and Education:

M.S./M.A./Ph.D. in a highly quantitative field (Statistics, Economics, Mathematics, Engineering, or other quantitatively-oriented degree) required.
4-5 years of experience in modeling of and analytics for consumer lending.
Experience with third-party consumer credit data and non-FCRA compliant consumer data.
Demonstrated proficiency with advanced statistical modeling and substantial experience with machine learning techniques (e.g., Random Forest, Gradient Boosting, LASSO, Elastic Net). Knowledge of penalized regression and classification methods a plus.
Strong data skills, with ability to conduct substantial data munging/engineering.
Demonstrable capability with Linux and R, Python, or Java; experience with versioning software (e.g., Git), big data solutions and data processing frameworks (e.g., Spark, Hadoop).
Knowledge of contemporary supervised and unsupervised data mining techniques a plus.

Required Skills and Abilities:

Ability to work in fast-paced environment with ever-changing demands.
Ability to manage multiple projects at one time.
Good communication skills for communication with Risk Management peers, Marketing, Operations, Collections, and Finance.
Comfort with terabytes of information, coming from a large number of diverse sources, possibly in various formats.
Comfort working in a highly skilled analytics team.
Intellectual curiosity and passion to innovate. Problems to you are not unsolvable, they just need to be looked and explored differently.
Effectiveness in the face of stress, ambiguity, difficult situations, and rapidly shifting priorities","San Diego, CA"
4570,Data Scientist,"MemComputing, Inc.","Job DescriptionPosition OverviewMemComputing Inc. has developed technology that is disrupting computer science as we know it. We are looking for an exceptional and talented computer/data scientist, with strong math skills. Join our team and help deliver a software based solution for our customers needing faster computation for their A.I., M.L., Operations Research and Big Data Analytics problems. This Sr. Computer/Data Scientist role will participate in the architecture, design, development, test and deployment of an advanced computational engine. Successful candidates will find rewarding work in a diverse set of computer science, math and physics specialties; including parallel computing (on GPU, FPGA, etc.) combinatorial optimization, numerical analysis and simulation of differential equations. Excellent communication skills, attention to details, and strong technical and problem-solving skills are essential aspects of this role.Sr. Computer Scientist Required QualificationsAdvanced degree in computer science, computer engineering, data science, electrical engineering, Math, Physics or similar disciplines, plus five or more yearsâ?experience.High Performance ComputingSoftware design, engineering and development, including familiarity with modern software development practices and tools.Experience with object-oriented software developmentExperience with C++, Java, PythonExperience in combinatorial optimization and numerical analysis.Demonstrated ability to develop and present ideas and results in oral and written form.Demonstrated ability to work effectively and collaboratively in a team environment.Sr. Computer Scientist Desired QualificationsStrong MATLAB skills and experienceSaaS application development on AWS, Azure and/or Google Cloud.Experienced implementation of the full SDLC using iterative or agile methods.Experience with algorithms used for optimization, machine learning and A.I.Proficiency in a combination of requirements capture, hardware and software architectural design, software modeling, software unit testing, software debugging and maintenance, change management, documentation and training, and deployment.Experience/education in R &amp; D using a subset of the following: system engineering, hardware and software architecture, distributed system design, numerical analysis, modeling and simulation, relational/object/geographic database technologies, user interfaces, scientific data visualization, web services technologies, and software development for multi-core/GPU/parallel computing.Experience with large, complex scientific and technical software systems engineering, development and deployment.Hands-on experiences in Caffe, Tensorflow, Torch, and/or Microsoft Cognitive Toolkit/CNTKKnowledge of distributed machine learning, unsupervised deep learning/neural networks.MemComputingWe believe in working hard, but while having fun doing it. We are a small startup with expectations for rapid growth. Employees are granted stock options so that everyone has ownership in the company and will profit from its success. The company also contributes to a Health, Dental and Vision plan for employees through Blue Shield. Join us and help us provide computational performance beyond anything that is currently imagined.Please include a cover letter that tells us more about who you are, how you have applied your knowledge, the work that you find most rewarding, the type of work environment that you prefer as well as any questions, comments or concerns that you may wish to share.Please also let us know about the details of your ability to work for any employer in the US. Identify if you are a citizen, hold a green card, or other VISA status. Provide information on remaining time on current VISAs, such as an OPT.Job Type: Full-timeExperience:HPC: 1 yearMathematics: 1 yearEducation:DoctorateLocation:San Diego, CARequired work authorization:United States","San Diego, CA"
4572,Data Scientist,Inseego,"We are seeking a seasoned data science expert to help drive innovation and make an impact within the world of health. As a Data Scientist youâll be responsible for individual data science work. Youâll be working to solve complex problems using large datasets and an array of advanced data science technology. Every day, youâll be working alongside energizing product teams that are eager for your insights that solve our customersâ?most pressing problems.

Responsibilities:
Design, analyze, develop, test, and deploy complex analytical models into enterprise data systems. Perform each task as needed for data science projects as an independent contributor.
Demonstrate in-depth knowledge of data science and statistics. Perform as the data science liaison and subject matter expert.
Apply creative and unconventional thinking with standard industry best practices to solve challenging and unique business problems.
Transform business goals into hypotheses and tangible data mining goals. Plan and execute experiments.
Collaborate with other business stakeholders to define business problems and to design solutions using advanced analytics.
Leverage software development principles and break down tasks into measurable time specific milestones.
Enhance architecture and systems to improve processes, refresh technical capabilities, and ensure that deliverables are state-of-the-art. Implement new tools and new approaches to achieve better outcomes.
Complete documentation, business reports, white papers, and technical/statistical assessments.

Qualifications:
Masterâs degree in Data Science, Predictive Analytics, Engineering, Mathematics, Statistics, Computer Science, or related field with graduate level coursework in machine learning.
Minimum of eight years of experience building and applying predictive models and programming using statistical software. R language preferred.
Proven knowledge of statistical techniques and data science is required.
Minimum of eight years of experience manipulating large datasets and using database tools and programming languages (SQL, Hive, Impala, Spark). A solid understanding of relational database concepts is required.
Ability to quickly understand new concepts and implement novel designs to advanced data science problems.
Ability to conduct research on new algorithms and implement in ways that create customer value.
Strong business acumen.
Strong interpersonal and communication skills (both written and oral) including the ability to communicate complex technical/statistical concepts to a non-technical audience.
Strong candidates are creative, innovative, and have intellectual curiosity.

Inseego is an Equal Opportunity Employer. Employment decisions are made without regard to race, color, religion (including religious dress and grooming), sex/gender (including pregnancy, childbirth, related medical conditions or breastfeeding), gender identity, gender expression, national origin, ancestry, age, physical or mental disability or legally protected medical condition, family care status, military or veteran status, marital status, sexual orientation, genetic information, or any other protected classification under federal, state and local law.","San Diego, CA"
4573,Data Scientist,Alion Science and Technology,"Under minimal supervision, designs experiments, test hypotheses, and build models. Conducts advanced data analysis and complex designs algorithm.

Duties and Responsibilities
Establishes database management systems, standards, guidelines and quality assurance for database deliverables.
Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such.
Collaborates with Institute subject matter experts to select the relevant sources of information.
Works with IT teams to support data collection, integration, and retention requirements based on the input collected with the business.
Solves client analytics problems and communicates results and methodologies.
Works in iterative processes with the client and validates findings.
Develops experimental design approaches to validate finding or test hypotheses.
Validates analysis by comparing appropriate samples.
Employs the appropriate algorithm to discover patterns.
Defines the validity of the information, how long the information is meaningful, and what other information it is related to.
Works with the data steward to ensure that the information used is in compliance with the regulatory and security policies in place.
Qualifies where information can be stored or what information, external to the organization, may be used in support of the use case.
Identifies and analyzes patterns in the volume of data supporting the initiative, the type of data (e.g. images, text, clickstream or metering data) and the speed or sudden variations in data collection.
Collaborates with the data steward to ensure that the information used follows the compliance, access management, and control policies and that it meets the qualification and assurance requirements of the
Institute.
Recommends ongoing improvements to methods and algorithms that lead to findings, including new information.
Presents and depicts the rationale of their findings in easy to understand terms for the business.
Educates the organization both from IT and the business perspectives on new approaches, such as testing hypotheses and statistical validation of results. Helps the organization understand the principles and the math behind the process to drive organizational buy-in.
Provides business metrics for the overall project to show improvements (contribution to the improvement should be monitored initially and over multiple iterations).
Demonstrates the following scientist qualities: clarity, accuracy, precision, relevance, depth, breadth,
logic, significance, and fairness.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Performs additional duties and responsibilities as required.
Education and Experience
Bachelorâs degree in Computer Science, Statistics, Applied Math or related field plus 5 to 7 years of directly related experience.
In some cases, educational requirements may be adjusted or waived for more than 6 years applicable work experience. Work experience may be adjusted for highly specialized knowledge or uniquely applicable experience for positions involving new technology or labor market shortages as reflected by market survey data.
Experience with programming languages such as Java/Python an asset.
Excellent pattern recognition and predictive modeling skills.
Knowledge, Skills, Abilities
Strong problem solving skills with an emphasis on product development.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Knowledge and experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc.
Experience working with and creating data architectures.
Ability to communicate and work effectively in a diverse work group.
Excellent written and verbal communication skills for coordinating across teams.
A Secret Clearance is required for employment.CB
CJ

Diversity Statement
Women, minorities, individuals with disabilities and veterans are encouraged to apply. Alion will provide a reasonable accommodation to individuals with disabilities and disabled veterans who need assistance to apply. Please visit the Alion Careers site for more information
U.S. Citizenship Required.","San Diego, CA 92108"
4576,Data Scientist,CA Technologies,"Do you want to help eliminate barriers between ideas and business outcomes? We want you to bring your unique experiences and creative ideas to the table. CA Technologies provides software and solutions that help our customers to develop, manage, and secure complex IT environments to increase productivity and enhance competitiveness in their businesses. Itâs our aim to encourage global collaboration and results-oriented innovation, while supporting and developing our talented people and our communities. CA Technologies will empower you to drive authentic success, for both the business and yourself in the application economy.
Do You Love Data and Advanced Analytics? Then Come Innovate with Us!
Your day will involve examination, investigation, and assessment of data with the goal of deriving insights and operationalizing these insights into meaningful applications.
About CA
CA Technologies is a Fortune 1000 company with a startup mentality â?and weâre searching for incredible, bright talent to dominate in the marketplace. Sure, CA has been a leading software company for nearly four decades, with a global customer base that includes the majority of the Fortune 2000 - but what excites us today is the opportunity to redefine the future of our industry in the age of the cloud, mobile, social and big data. We have a daring vision and a powerful, expanding solution set that helps the worldâs most successful companies realize their boldest objectives. For more information, visit [GH1] www.CA.com/innovation
About the Role
You will solve large-scale complex problems while helping set product direction as a member of a team that focuses on the application of data mining/machine learning techniques on large datasets for various customer and internal projects.
Duties for this position will also include analyzing data of all forms and sizes; building analytical models to solve complex business problems across various domains, researching and evaluating new algorithms and technologies and presenting solutions and/or findings to internal and external teams.
Key Responsibilities
Execute on data-intensive analytical projects as a member of the team
Set up data analysis environments to ensure reliable backups and integrity
Keep analytical computing / predictive modeling / data analysis skills current
Deliver on projects for timely conclusion
Create reports and charts to communicate data analysis results to the customer

How You'll Stand Out
Strong scientific-computational skills with an ability to think about problems differently; investigating new techniques and technologies to solve a problem
Extensive experience specifying and building advanced analytics
Ability to think in statistical and probabilistic terms
Extensive experience with statistical and machine learning offerings in one or more of the following (SAS, R, Mahout, Matlab, Python, Octave, etc.)
Familiarity with UNIX and at least one major programming language such as C, C++, Java, or SAS
Experience working with large data sets within distributed computing environments (Map/Reduce, Hadoop, Hive, etc.)
Excellent programming skills with knowledge of multiple operating systems, scripting languages, and the ability to deal with very large volumes of data
Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner with excellent interpersonal, written, and verbal communication skills
Ability to think analytically, write and edit technical material, and relate statistical concepts and applications to various audiences
Ability to work independently and within a team environment
PhD or Masterâs level degree in Computer Science, Statistics, Mathematics, Engineering or Physical Sciences

More About Working at CA:
CA has earned scores of Workplace Excellence awards in the last few years â?and thereâs a reason for that. Here youâll have the opportunity to eliminate barriers for our customers, and earn a competitive compensation and total rewards package â?all while pushing the boundaries of whatâs possible by collaborating with a diverse team of global innovators. In short, CAâs fun, diverse, and fast-paced culture has put us on the map as one of the best employers in Information Technology.
We offer competitive salary, company-sponsored premium Medical/Prescription &amp; Dental Plans, company-paid Holidays, Vacation, Anniversary Service and Sick Days, 401(k) Plan, Education/Training Reimbursement, Charitable Gift Program, Adoption Assistance Program.
Learn more about CA Technologies and this opportunity now at http://ca.com/careers
We and all of our subsidiaries are equal opportunity employers. As such, it is our corporate policy to fill positions with qualified candidates regardless of the candidateâs race, color, sex, age, religion, ancestry, national origin, citizenship status, marital status, sexual orientation, gender identity, genetic information, disability, pregnancy, military status, veteran status or any other protected group status.
Note to Recruiters and Placement Agencies: We do not accept unsolicited agency resumes. Please do not forward unsolicited agency resumes to our website or to any of our employees. We will not pay fees to any third party agency or firm and will not be responsible for any agency fees associated with unsolicited resumes. Unsolicited resumes received will be considered our property and will be processed accordingly.
If you require an accommodation with the online application process, please contact Talent Acquisition at 1-800-454-3788.
EOE/Min/Women/Veterans/Disabled","San Diego, CA"
4583,Data Scientist,Qualcomm,"Location 
California - San Diego


Job Overview 
Job Function You will study the performance of the Global Engineering Grid/ Design workflows across Qualcomm data centers and provide insights in efficiency opportunity across compute, storage, network, power, cooling and design workflows. You will conduct research, design statistical studies, utilize machine learning, create decision models and analyze data to discover new ways to impact our business and deliver value to our customers. The right candidate has a background in data science, applied mathematics, or computational science and a history of solving difficult problems using a scientific approach. They hold a PhD or post graduate degree in a scientific field and understand how to design scientific studies. This job will challenge the candidate to dive deep into the engineering grid/ design flow world and understand the unique challenges in operating global data centers at a scale unrivaled in the industry. The candidate should be familiar with the state of the art in machine learning/ data modeling/ forecasting and optimization techniques in a big data environment. The ideal candidate will have experience working in an EDA or manufacturing environment and comfortable workings in an environment where problems are not always well-defined. The candidate should have strong communication &amp; interpersonal skills and readily engage in solving problems within a highly collaborative environment. Responsibilities:
Identify and pursue opportunities to improve the efficiency of global data centers, engineering grid and design workflows
Develop systems to invest, analyze, and take automated action across real-time feeds of high volume data
Research and implement new approaches in machine learning/ data modeling to solve business problems
Identify patterns and trends from large, high-dimensional data sets; manipulate data into digestible and actionable reports
Make business recommendations (e.g. cost-benefit, experiment analysis) with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative information.
Develop technical roadmap, function as the mentor to junior resources on the team
Plan effectively to set priorities and manage projects, identify roadblocks and work to get them removed



All Qualcomm employees are expected to actively support diversity on their teams, and in the Company.

Minimum Qualifications 
PhD/ MS degree in a quantitative discipline (e.g., Statistics, Applied Mathematics, Operations Research, Computer Science, Electrical Engineering)
10 years of experience articulating business questions and using mathematical techniques to arrive at an answer using available data. Experience translating analysis results into business recommendations including:
Technical Leadership experience with focus on strategic planning/ roadmaps
Experience with statistical software (e.g., R, Python, MATLAB, pandas, scala) and database languages like SQL
Experience with data warehousing concepts and visualization tools (e.g. QlikView, Tableau, Angular)


Preferred Qualifications 
PhD degree in Engineering, Statistics, Applied Mathematics or related field Strong business acumen, critical thinking ability, and attention to detail


Education Requirements 
Required: Masters degree in Engineering, Statistics, Applied Mathematics or related fields
Preferred: PhD degree in Engineering, Statistics, Applied Mathematics or related field","San Diego, CA"
